suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
8,82172427,4,1,5696844
5,82172429,1,1,5696845
5,82172438,2,1,5696846
5,82174835,1,9,5696857
5,82174838,6,1,5696858
5,82174842,4.1,1,5696859
5,82174857,2.1,1,5696860
8,82174861,0,,5696861
16,82174866,2,9,5696862
16,82174881,86,9,5696863
16,82171399,0.47,1,5697050
5,82171411,1,3,5697051
5,82171421,1,1,5697052
5,82171430,1,1,5697053
5,82171436,2,1,5697054
8,82171458,88,9,5697055
5,82171468,29.5,1,5697133
8,82171476,7,9,5697134
4,82171479,3,9,5697135
5,82174004,1,1,5697275
5,82174006,3,1,5697366
5,82174011,1,1,5697367
8,82174017,5,9,5697368
5,82174019,1,1,5697369
5,82174030,1,1,5697370
5,82174076,1,1,5697372
5,82174108,0.3,1,5697465
5,82174136,1,3,5697466
5,82174139,3.4,1,5697467
4,82174145,1,9,5697468
4,82174148,1,9,5697469
5,82183724,1.5,1,5697519
5,82174154,1,9,5697551
5,82174160,1.4,1,5697552
5,82177874,4,1,5697566
4,82173393,2,9,5698101
5,82173394,1,1,5698102
5,82173396,1,9,5698103
5,82173401,1,1,5698205
16,82173416,2,1,5698206
5,82173424,2,1,5698207
1,82175845,2.3,1,5698223
5,82181849,4,1,5698254
5,82172405,2,1,5698467
5,82172408,1,9,5698468
5,82172410,1,1,5698469
5,82174786,1,2,5698473
2,82174815,1,1,5698474
5,82174819,1,1,5698475
8,82174822,130,9,5698476
5,82168822,1,3,5690301
5,82168833,1,1,5690302
5,82168835,1,1,5690303
5,82168844,1,9,5690304
5,82168873,1,1,5690406
4,82168881,1,9,5690407
5,82168884,1,9,5690408
4,82168886,3,1,5690409
4,82168887,1,1,5690410
5,82168896,2.3,1,5690411
5,82156941,0.25,3,5690452
4,82156950,1,1,5690453
4,82156955,1,2,5690534
5,82161848,1,1,5690565
5,82161849,1,1,5690566
8,82168934,1,9,5690583
5,82168940,2,9,5690584
9,82168966,1,9,5690585
1,82168967,4.4,1,5690586
5,82161876,4.5,1,5690632
8,82161895,10,9,5690633
5,82161901,1,1,5690634
5,82161913,4,1,5690635
4,82167959,1,9,5690658
5,82167256,28,10,5691153
16,82168886,2.5,9,5865588
5,82156950,1,1,5865591
16,82156955,2,9,5865604
