weapon_id,offense_id,nibrs_weapon_id
12,91618994,18373082
12,92508047,18553936
12,93031329,18660657
12,94576417,18982189
2,95657729,19208895
2,92509457,18555391
2,92509456,18555390
12,92508095,18553950
2,93031377,18660663
2,93031378,18660664
2,93031380,18661489
2,92509477,18555395
9,91125279,18270477
2,93032141,18661488
12,91125255,18270474
12,92510105,18553951
3,94086456,18880462
12,92510165,18555402
3,92510165,18555403
2,95177284,19111630
2,97746661,19643649
12,93032143,18660665
12,93031414,18660666
2,95177286,19111631
2,95177278,19111628
2,95177281,19111629
2,95177276,19111627
2,97745984,19643650
2,95658289,19210086
12,95177317,19111636
12,95178162,19110766
2,97746656,19643158
2,97746667,19643160
12,95178179,19110770
12,95177336,19111637
12,97745969,19643647
12,97746008,19643654
20,97746676,19643164
12,91124720,18269689
12,91124729,18269690
12,93612174,18777806
12,93611940,18780344
20,95657040,19210034
12,95657567,19208857
3,91123986,18269434
12,91617982,18372279
12,91618809,18373052
12,91618808,18373051
18,96968987,19485586
12,95175953,19110719
12,95176981,19111573
10,100430827,20205948
20,100101488,20141361
12,98578703,19818865
12,90678151,18173872
9,91618047,18372291
3,91618047,18372292
12,93612019,18780358
12,94087340,18880341
12,94087315,18880336
12,94087313,18880334
12,94086437,18880458
19,93612242,18780354
12,94086453,18880461
12,97746580,19643628
3,95176086,19111603
2,97745892,19643632
12,91618092,18372299
12,91125003,18269738
20,91124994,18269736
12,91618102,18372301
20,91125028,18270475
12,91125236,18269737
12,91125360,18270484
12,91125044,18269745
12,91125282,18270478
12,91125292,18269749
19,91125065,18269750
12,91125376,18270486
12,91125627,18270512
12,91125630,18269785
12,91125623,18270511
19,91125644,18270516
12,91125663,18270518
12,91125489,18270497
12,91125475,18270495
12,91619111,18373086
20,91126227,18269781
12,91126242,18269788
12,91125488,18270496
12,91125464,18269771
12,91126226,18269780
20,91126178,18269773
12,91126133,18269765
20,91619169,18372315
18,92051396,18461341
12,91619094,18372312
12,91619125,18373089
12,91620115,18373106
12,92051378,18464156
18,91619134,18373094
12,91620116,18373107
12,91619063,18373097
12,91619123,18372306
12,91619092,18373102
20,91619087,18373101
20,91619158,18373105
17,92509435,18555387
12,91620119,18373108
20,91619145,18373098
12,91619097,18373103
19,93613166,18780376
3,92508067,18555384
3,92509433,18555385
12,92050603,18461359
12,92050704,18461381
12,92050623,18461361
12,92050686,18461372
12,92051460,18464172
9,92050657,18461367
12,92050681,18464180
12,92050655,18464174
12,92508075,18553944
12,92051454,18464170
3,92051489,18464177
3,92051490,18464178
12,92050690,18461375
20,92050593,18461357
20,93031305,18660653
20,92510156,18553962
12,92509575,18555413
12,92510228,18555417
12,92510184,18553969
5,92509500,18555399
12,92510191,18553972
12,92510154,18553961
12,92510201,18553974
18,92510123,18555396
12,92510215,18553980
3,94576399,18982715
12,93613178,18780378
20,94086488,18880468
18,94087460,18880361
12,94087481,18880367
12,94086502,18880470
12,94087500,18880369
12,94086549,18880479
20,94087442,18880357
12,94087448,18880359
12,94087457,18880360
3,100429946,20205962
3,100429948,20205963
12,94087530,18880485
12,94087546,18880380
12,94086598,18880493
12,94086580,18880377
12,94086587,18880490
19,94086597,18880492
9,94086604,18880496
9,94086613,18880498
20,94086624,18880499
12,94086584,18880487
12,94086603,18880495
20,94086609,18880497
12,94086594,18880491
12,94087543,18880379
12,94575760,18982188
12,94575803,18982720
12,94575804,18982721
12,94575821,18982723
9,94576458,18982196
12,94576460,18982197
12,94576425,18982192
12,94576432,18982193
12,94576469,18982198
12,95177301,19111634
18,94575773,18982191
12,94575799,18982719
12,94576497,18982202
12,94575857,18982201
12,95178165,19111635
12,94576502,18982203
12,94575891,18982733
20,94575942,18982737
12,94576490,18982200
12,94576495,18982731
12,95177298,19111633
12,94576521,18982204
12,94576524,18982205
3,97746610,19643154
12,95177367,19111640
12,95177438,19111654
12,95177417,19111647
12,95178183,19110771
9,95177351,19111638
12,95177378,19111643
12,95177375,19111642
12,95178201,19110774
12,95177440,19111655
18,95658310,19208900
12,95178188,19110772
12,95178196,19110773
12,95177353,19111639
12,95178207,19110777
10,95658395,19208919
12,95658380,19210104
12,95658323,19210093
12,97745959,19643645
12,98579112,19818880
12,95657824,19208917
12,95658381,19208911
12,95657819,19208915
12,95657795,19210101
12,95657823,19208916
12,95658368,19210102
12,97746646,19643157
20,97745936,19643641
12,97746703,19643166
12,97746732,19643663
12,97746717,19643167
12,97746737,19643169
12,97746743,19643172
12,97746727,19643168
12,97746739,19643171
20,97746738,19643170
18,90677608,18174535
18,92050422,18461332
18,92507973,18555369
18,94575727,18982713
18,96969656,19484637
18,96969655,19485629
3,91619027,18373090
20,90678218,18174541
12,90678230,18173882
12,90678220,18173878
12,90678226,18173881
12,91125052,18270476
20,90677674,18173885
12,90678239,18173886
20,90678219,18173879
12,90678225,18173880
12,96970379,19485638
12,91125083,18269753
20,91125283,18270479
12,91125363,18270485
20,91125100,18269756
12,91126149,18269768
12,91125321,18270481
20,91125102,18269757
12,91619095,18372313
12,91620136,18373111
12,91620131,18372317
20,94087391,18880349
12,95657763,19210095
3,96970380,19485639
12,92509541,18555408
12,92510199,18555411
12,92051479,18461366
12,92050644,18461365
12,92050720,18461384
12,92050688,18461374
12,92051488,18464176
12,92050668,18461370
12,92051518,18464184
12,92509537,18555407
12,92051476,18464173
12,92050717,18461383
