offense_id,incident_id,offense_type_id,attempt_complete_flag,location_id,num_premises_entered,method_entry_code,ff_line_number
91124963,83457465,47,C,20,,,
91124972,83457473,35,C,13,,,
91618994,83886692,51,C,18,,,
92509421,84661377,35,C,20,,,
92508047,84661375,51,C,20,,,
93031329,85116215,51,C,20,,,
93031330,85116218,16,C,38,,,
93031331,85116218,35,C,38,,,
94576413,86471100,49,C,5,,N,
94576424,86471112,16,C,7,,,
94576417,86471101,51,C,20,,,
100101587,91337123,2,C,20,,,
94575769,86471104,45,C,21,,,
95178131,87003508,41,C,20,,,
95177237,87004543,49,C,20,,N,
95177238,87004547,16,C,20,,,
95657729,87430799,27,C,20,,,
97745908,89283567,45,C,20,,,
97746612,89283568,16,C,18,,,
92509457,84662904,39,C,24,,,
92509456,84661416,39,C,24,,,
91124993,83458061,45,C,21,,,
91125000,83457494,23,C,12,,,
92508095,84661419,56,C,41,,,
91125241,83458064,23,C,8,,,
91124999,83458063,23,C,12,,,
93031377,85116244,39,C,24,,,
93031378,85116246,39,C,24,,,
93031380,85116249,39,C,24,,,
91125247,83458072,35,C,23,,,
91125246,83458072,16,C,23,,,
92509477,84662920,39,C,24,,,
91124997,83457491,23,C,8,,,
91125005,83457500,23,C,12,,,
91125254,83457515,23,C,7,,,
91125264,83458090,2,C,13,,,
91125056,83458537,45,C,36,,,
91125032,83458087,23,C,8,,,
91125275,83458104,5,C,20,,,
91619004,83887601,2,C,2,,,
91125053,83458103,5,C,20,,,
91125038,83458091,5,C,20,,,
91125279,83458108,39,C,41,,,
93032141,85116247,39,C,24,,,
91619112,83886700,23,C,12,,,
91125269,83458530,5,C,20,,,
91125054,83458107,5,C,20,,,
91125039,83458524,5,C,20,,,
91125273,83458101,5,C,20,,,
91125255,83458518,51,C,20,,,
91125027,83458518,44,C,20,,,
91125257,83458518,35,C,20,,,
91125256,83458518,16,C,20,,,
91125263,83458522,5,C,20,,,
91619114,83886703,16,C,13,,,
91619006,83886701,45,C,20,,,
91619005,83887602,5,C,20,,,
91619008,83886702,23,C,12,,,
91619117,83886704,5,C,20,,,
92510105,84661433,51,C,20,,,
91619003,83887600,5,C,20,,,
94086456,86039616,39,C,24,,,
92509478,84662922,2,C,20,,,
92510109,84662917,35,C,13,,,
92510108,84662917,16,C,13,,,
92508104,84661429,23,C,8,,,
92510113,84661436,16,C,20,,,
92510114,84661436,35,C,20,,,
92509520,84662956,5,C,20,,,
92509496,84661460,16,C,13,,,
92510132,84662935,23,C,7,,,
92509524,84661489,16,C,40,,,
92509525,84661489,35,C,40,,,
92509497,84662942,5,C,20,,,
92510160,84661478,35,C,13,,,
92510130,84661450,47,C,20,,,
93031386,85116256,35,C,13,,,
92509492,84661456,35,C,23,,,
92509491,84661456,16,C,23,,,
92510135,84661452,49,C,20,,N,
92509493,84662940,16,C,13,,,
92510166,84661483,13,C,21,,,
92510116,84661437,5,C,20,,,
92510173,84661488,49,C,20,,N,
92510117,84662924,16,C,13,,,
92510165,84661482,40,C,21,,,
92510176,84661492,5,C,20,,,
92510139,84661454,5,C,20,,,
95177284,87005529,39,A,24,,,
97746661,89283626,39,A,24,,,
97745966,89284565,46,C,20,,,
93031402,85116271,23,C,13,,,
93031416,85116280,45,C,20,,,
93032151,85116644,13,C,21,,,
93032156,85116275,45,C,20,,,
93032143,85116639,51,C,20,,,
93031403,85116272,45,C,20,,,
93031398,85116268,35,C,13,,,
93031392,85116263,23,C,24,,,
93031395,85116265,5,C,20,,,
93032160,85116279,5,C,19,,,
93032159,85116279,45,C,19,,,
93613109,85621565,49,C,13,,N,
93031381,85116250,47,C,20,,,
